HUB ID,Location,Name,Sitewide?,Affected item,Additional Elements,Component,Description of item/issue,WCAG Guideline,Affected Users,Recommended Fix,Priority,Issue Resolved Date,Category,Category ID,Common Issue ID,Allyant Status,Client Status,Client Sprint,Client Release,Client Assignee,Client Source ID,Ready for QA,High Risk,Last Comment,Last Comment Timestamp,Last Comment Email,Created Session,Last Updated Session,Last Screenshot Link,All Screenshots,Issue Link,Related Knowledge Base Articles
150,https://app-us3.e-builder.net/auth/Authenticate/LoginSequence.aspx,Agreement (6 steps),"",pages landmarks,"",,Pages require landmarks to assist screen reader users in understanding and navigating the structure of the page.,1.3.1 (WCAG 2.0 A),Visual,"Wrap the header in a `<header>` tag, the navigation section in a `<nav>` tag, the main content in a `<main>` tag, and the footer in a `<footer>` tag.",Serious,,Landmarks,107,32,Open,Open,,,,,"","",,,,Audit Session,Audit Session,,"",https://hub.accessible360.com/issues/701686/edit,https://hub.accessible360.com/kb/articles/72
151,https://app-us3.e-builder.net/auth/Authenticate/LoginSequence.aspx,Agreement (6 steps),"",No H1 found,"",,This page lacks an <h1> heading.,"1.3.1 (WCAG 2.0 A), 2.4.6 (WCAG 2.0 AA)",Visual,"Add an `<h1>` heading to this page at the start of the main content that describes its topic or purpose. Common examples include ""About Us"", ""Contact Us"", ""Terms of Use"", etc.

If this does not conform to styling, instead add this text as screen reader only text, and then wrap that text in an `<h1>` tag.",Warning,,Headings,106,91,Open,Open,,,,,"",Yes,,,,Audit Session,Audit Session,,"",https://hub.accessible360.com/issues/701687/edit,"https://hub.accessible360.com/kb/articles/122, https://hub.accessible360.com/kb/articles/1178, https://hub.accessible360.com/kb/articles/1311"
152,https://app-us3.e-builder.net/auth/Authenticate/LoginSequence.aspx,Agreement (6 steps),"","""agreement"" through ""security"" steps","",,"The visual representation of the current ""Step"" in process is not indicated to the screen reader user.",1.3.1 (WCAG 2.0 A),Visual,"Since the element is indicated visually, either add `aria-current=""step""` to the element or add screen-reader-only text to the element conveying the current step.",Serious,,Markup,4,363,Open,Open,,,,,"","",,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2005486,https://hub.accessible360.com/screenshots/2005486,https://hub.accessible360.com/issues/701691/edit,https://hub.accessible360.com/kb/articles/1178
153,https://app-us3.e-builder.net/auth/Authenticate/LoginSequence.aspx,Agreement (6 steps),Yes,"""agreement"" through ""security"" steps","",,Content that functions as a list should be indicated as such to screen reader users.,1.3.1 (WCAG 2.0 A),Visual,"When a series of similar items is grouped together in a meaningful or deliberate way, this should be conveyed to screen reader users.

Use standard HTML to mark up all such content as a list. Ensure that the list items are the direct children of the wrapping `<ol>`, `<ul>`, or `<dl>` tag. ",Warning,,Lists,109,17,Open,Open,,,,,"","",,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2005487,https://hub.accessible360.com/screenshots/2005487,https://hub.accessible360.com/issues/701692/edit,"https://hub.accessible360.com/kb/articles/64, https://hub.accessible360.com/kb/articles/1314"
154,https://app-us3.e-builder.net/auth/Authenticate/LoginSequence.aspx,Agreement (6 steps),"","""Account terms"" heading","",,Text that functions as a heading should be marked up as such.,"1.3.1 (WCAG 2.0 A), 2.4.6 (WCAG 2.0 AA)","Cognitive,Visual","Mark this text up as a heading.

Headings provide structure for screen reader users. When marking text up as a heading, verify that the page maintains a logical outline structure. For example; 

- Each page needs a single `<h1>` heading that describes the main purpose of the page.
- An `<h2>` should head each major section of the page.
- Subsequent heading levels (`<h3>` through `<h6>`) should be related to a parent `<h2>` and should not skip heading levels.",Serious,,Headings,106,15,Open,Open,,,,,"","",,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2005492,https://hub.accessible360.com/screenshots/2005492,https://hub.accessible360.com/issues/701701/edit,"https://hub.accessible360.com/kb/articles/63, https://hub.accessible360.com/kb/articles/1313"
155,https://app-us3.e-builder.net/auth/Authenticate/LoginSequence.aspx,Agreement (6 steps),"","""Account terms"" section > read-only textarea","",,All form fields must be properly labeled.,3.3.2 (WCAG 2.0 A),"Cognitive,Motor / Dexterity,Visual","Ensure all form fields have a visible label (typically via a `<label>` tag) which is properly associated with its field (via the `for` attribute, which takes the value of the `id` from the form field).",Serious,,Forms,105,10,Open,Open,,,,,"",Yes,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2005502,https://hub.accessible360.com/screenshots/2005502,https://hub.accessible360.com/issues/701711/edit,"https://hub.accessible360.com/kb/articles/48, https://hub.accessible360.com/kb/articles/1093"
156,https://app-us3.e-builder.net/auth/Authenticate/LoginSequence.aspx,Agreement (6 steps),Yes,company logo,"",Agreement Header,Background images that provide information must be available to screen reader users.,1.1.1 (WCAG 2.0 A),Visual,Change each image from a CSS background image into an image tag (`<img>`) with an appropriate `alt` attribute.,Critical,,Images,1,50,Open,Open,,,,,"",Yes,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2005514,https://hub.accessible360.com/screenshots/2005514,https://hub.accessible360.com/issues/701719/edit,"https://hub.accessible360.com/kb/articles/76, https://hub.accessible360.com/kb/articles/472"
157,https://app-us3.e-builder.net/auth/Authenticate/LoginSequence.aspx,Agreement (6 steps),Yes,company logo,"",Agreement Header,Logo images need to be properly labeled for screen reader users.,1.1.1 (WCAG 2.0 A),Visual,"Text labeling each logo image should include the company name, as well as any additional text legible within the logo image (motto, slogan, etc). Ensure that the text “logo” is appended to the labeling.

- For `<img>` elements, place the image label text in the `alt` attribute.
- For `<svg>` elements, add `role=""img""` and `aria-labelledby` attributes to each `<svg>` tag, then place the image label text in a `<title>` tag within the `<svg>` tag and give this `<title>` tag a unique `id` attribute. Ensure the `<title>` is a direct descendant of the `<svg>` tag and that the `<svg>` tag’s `aria-labelledby` attribute holds the `<title>` tag’s `id` value.
",Warning,,Images,1,90,Open,Open,,,,,"","",,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2005516,https://hub.accessible360.com/screenshots/2005516,https://hub.accessible360.com/issues/701720/edit,""
158,https://app-us3.e-builder.net/auth/Authenticate/LoginSequence.aspx,Agreement (6 steps),Yes,"""online help"" link","",Agreement Header,Elements that function as links must be marked up as such so that screen reader users will identify them as actionable and they will be usable by keyboard users.,"2.1.1 (WCAG 2.0 A), 4.1.2 (WCAG 2.0 A)","Motor / Dexterity,Visual","Preferably, links should be marked up as semantic HTML `<a>` elements.

Less preferably, ensure that custom link elements include `role=“link”` and `tabindex=“0”`, and have the appropriate scripting in place so that the element can be selected by keyboard users using the `Enter` key and by mouse click.",Critical,,Links,108,18,Open,Open,,,,,"",Yes,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2005517,https://hub.accessible360.com/screenshots/2005517,https://hub.accessible360.com/issues/701721/edit,https://hub.accessible360.com/kb/articles/65
159,https://app-us3.e-builder.net/auth/Authenticate/LoginSequence.aspx,Agreement (6 steps),Yes,"""online help"" link","",Agreement Header,Links must have sufficient labels for all users.,2.4.4 (WCAG 2.0 A),Visual,Add screen reader only text or an `aria-label` attribute to each link which tells users where it goes and/or what it does. Please note that the `title` attribute is not sufficient for link labeling.,Serious,,Links,108,12,Open,Open,,,,,"",Yes,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2005518,https://hub.accessible360.com/screenshots/2005518,https://hub.accessible360.com/issues/701722/edit,"https://hub.accessible360.com/kb/articles/60, https://hub.accessible360.com/kb/articles/1178"
169,https://app-us3.e-builder.net/auth/Authenticate/LoginSequence.aspx,Security,"","""2-step verification"" and ""Verify your identity"" headings","once authenticator app passes > ""You're done!"" and ""2-step verification"" headings, ""Get authenticator app"" heading",,Text that functions as a heading should be marked up as such.,"1.3.1 (WCAG 2.0 A), 2.4.6 (WCAG 2.0 AA)","Cognitive,Visual","Mark this text up as a heading.

Headings provide structure for screen reader users. When marking text up as a heading, verify that the page maintains a logical outline structure. For example; 

- Each page needs a single `<h1>` heading that describes the main purpose of the page.
- An `<h2>` should head each major section of the page.
- Subsequent heading levels (`<h3>` through `<h6>`) should be related to a parent `<h2>` and should not skip heading levels.",Serious,,Headings,106,15,Open,Open,,,,,"","",,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2005716,"https://hub.accessible360.com/screenshots/2005717, https://hub.accessible360.com/screenshots/2005565, https://hub.accessible360.com/screenshots/2005716",https://hub.accessible360.com/issues/701764/edit,"https://hub.accessible360.com/kb/articles/63, https://hub.accessible360.com/kb/articles/1313"
170,https://app-us3.e-builder.net/auth/Authenticate/LoginSequence.aspx,Security,"","tab button under ""Verify your identity"" section","""Get authenticator app"" section > tab button ",,Invisible elements should not receive focus or be visible to screen reader users.,4.1.2 (WCAG 2.0 A),"Motor / Dexterity,Visual","Use standard CSS techniques, such as `display:none;` to hide all non-visible content.",Serious,,Focus,2,82,Open,Open,,,,,"","",,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2005571,"https://hub.accessible360.com/screenshots/2005685, https://hub.accessible360.com/screenshots/2005571",https://hub.accessible360.com/issues/701765/edit,https://hub.accessible360.com/kb/articles/145
171,https://app-us3.e-builder.net/auth/Authenticate/LoginSequence.aspx,Security,"","""Verify your identity"" section wrapper","",,Unnecessary ARIA attributes can cause unexpected behavior for screen reader users.,4.1.2 (WCAG 2.0 A),Visual,"The presence of an unnecessary ARIA attribute can create unexpected behavior across various configurations. Remove the `role=""region""`, `aria-labeledby` attributes from the element.

",Warning,,ARIA,95,349,Open,Open,,,,,"","",,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2005573,https://hub.accessible360.com/screenshots/2005573,https://hub.accessible360.com/issues/701768/edit,https://hub.accessible360.com/kb/articles/1001
172,https://app-us3.e-builder.net/auth/Authenticate/LoginSequence.aspx,Security,"","""Verify your identity"" section > ""Enter verification code"" input field","",,All form fields must be properly labeled.,3.3.2 (WCAG 2.0 A),"Cognitive,Motor / Dexterity,Visual","Ensure all form fields have a visible label (typically via a `<label>` tag) which is properly associated with its field (via the `for` attribute, which takes the value of the `id` from the form field).",Serious,,Forms,105,10,Open,Open,,,,,"",Yes,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2005577,https://hub.accessible360.com/screenshots/2005577,https://hub.accessible360.com/issues/701771/edit,"https://hub.accessible360.com/kb/articles/48, https://hub.accessible360.com/kb/articles/1093"
173,https://app-us3.e-builder.net/auth/Authenticate/LoginSequence.aspx,Security,"","""Verify your identity"" section > ""Didn't get a verification code?"" tooltip","""Verify your identity"" section > (once time out) ""Send a new code"" link",,"Tooltip content must be reachable by all users, including screen reader and keyboard users.","1.3.1 (WCAG 2.0 A), 1.4.13 (WCAG 2.1 AA), 2.1.1 (WCAG 2.0 A), 4.1.2 (WCAG 2.0 A)","Motor / Dexterity,Visual","Making tooltips accessible can be accomplished in two distinct ways:

- Make your tooltips accessible by using **manually**-activated tooltips. Please see [this section](https://hub.accessible360.com/kb/articles/524#heading-for-manuallyactivated-tooltips) in the Tooltips Knowledge Base article.
- Make your tooltips accessible by using **automatically**-activated tooltips. Please see [this section](https://hub.accessible360.com/kb/articles/524#heading-for-automaticallyactivated-tooltips) in the Tooltips Knowledge Base article.
  - **Note:** If you elect to use automatically-activated tooltips, these tooltips must convert to manually-activated tooltips when they are displayed on smaller viewports with a responsive layout. Please see the section regarding [Tooltip that is only available on smaller viewports](https://hub.accessible360.com/kb/articles/524#heading-tooltip-that-is-only-available-on-smaller-viewports) for more information on mobile responsive tooltips and a code sample illustrating this functionality.

Once you have decided which type of tooltip to implement (manual or automatic), please make a comment on this issue to let us know, and then include this issue in an upcoming QA or reach out to your CSM to have this content audited. We will then set this issue to Not Applicable and add new issues as needed to address the content.",Critical,,Tooltips,119,873,Open,Open,,,,,"",Yes,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2005580,https://hub.accessible360.com/screenshots/2005580,https://hub.accessible360.com/issues/701775/edit,https://hub.accessible360.com/kb/articles/524
174,https://app-us3.e-builder.net/auth/Authenticate/LoginSequence.aspx,Security,"","""Verify your identity"" section > ""Enter verification code"" error","",,Errors are not identified to screen reader users. ,3.3.1 (WCAG 2.0 A),Visual,"Ensure that screen reader users are informed of the errors present for these form fields.

There are a number of ways that this can be addressed. Ideally, add an `aria-describedby` attribute and set focus on the first form field with an error. The `aria-describedby` attribute should be placed on the affected form field. It takes the `ID` of the element that contains the description of the error. If the form field is described by more than one element, you can set the `aria-describedby` attribute to a space-separated list of IDs.

Some alternative approaches are the following:

* Add an `aria-invalid` attribute to the `<input>` elements with errors. Ideally this is accompanied by setting focus on the first `<input>` with an error.
* Utilize the browser error alerts to indicate this information. 
",Serious,,Forms,105,631,Open,Open,,,,,"","",,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2005679,https://hub.accessible360.com/screenshots/2005679,https://hub.accessible360.com/issues/701832/edit,""
175,https://app-us3.e-builder.net/auth/Authenticate/LoginSequence.aspx,Security,"","""Verify your identity"" and ""Get authenticator app"" steps","",,"These are marked up as tabs, but they are not semantically tabs.",4.1.2 (WCAG 2.0 A),Visual,"Remove all of the ARIA tab roles, states, and properties from these elements and their parents.",Serious,,Tabs,115,352,Open,Open,,,,,"","",,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2005683,https://hub.accessible360.com/screenshots/2005683,https://hub.accessible360.com/issues/701841/edit,"https://hub.accessible360.com/kb/articles/606, https://hub.accessible360.com/kb/articles/1094"
176,https://app-us3.e-builder.net/auth/Authenticate/LoginSequence.aspx,Security,"","""Get authenticator app"" section > list items","",,Content that functions as a list should be indicated as such to screen reader users.,1.3.1 (WCAG 2.0 A),Visual,"When a series of similar items is grouped together in a meaningful or deliberate way, this should be conveyed to screen reader users.

Use standard HTML to mark up all such content as a list. Ensure that the list items are the direct children of the wrapping `<ol>`, `<ul>`, or `<dl>` tag. ",Warning,,Lists,109,17,Open,Open,,,,,"","",,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2005684,https://hub.accessible360.com/screenshots/2005684,https://hub.accessible360.com/issues/701842/edit,"https://hub.accessible360.com/kb/articles/64, https://hub.accessible360.com/kb/articles/1314"
177,https://app-us3.e-builder.net/auth/Authenticate/LoginSequence.aspx,Security,"","""Get authenticator app"" section > item 1: ""e-Builder Login Hub"" link","",,Inline links must be distinguishable from adjacent paragraph text.,"1.4.1 (WCAG 2.0 A), 1.4.3 (WCAG 2.0 AA)","Cognitive,Visual","Inline links that lack sufficient distinguishing characteristics make it difficult to impossible for some users to recognize as links.

Update the styling of inline links (links found in larger blocks of text) to distinguish them from surrounding text. For example:

* add an underline
* add a background color
* make the text bold (`font-weight: 700` or more)
* increase the text contrast

NOTE: If color alone is used, this will require at least 3:1 contrast with surrounding body text, and at least 4.5:1 contrast with the background.",Critical,,Links,108,813,Open,Open,,,,,"",Yes,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2005686,https://hub.accessible360.com/screenshots/2005686,https://hub.accessible360.com/issues/701844/edit,""
178,https://app-us3.e-builder.net/auth/Authenticate/LoginSequence.aspx,Security,"","""Get authenticator app"" section > QR canvas","",,"Canvas images must have accessible descriptions, so that screen reader users know what they contain.",1.1.1 (WCAG 2.0 A),Visual,"Add a `role=""img""` attribute and an `aria-label` attribute to the `<canvas>` tag. The `aria-label` attribute should convey the information provided by the image.",Critical,,Images,1,313,Open,Open,,,,,"",Yes,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2005688,https://hub.accessible360.com/screenshots/2005688,https://hub.accessible360.com/issues/701846/edit,""
179,https://app-us3.e-builder.net/auth/Authenticate/LoginSequence.aspx,Security,"","""Get authenticator app"" section > ""Can't scan it?"" button under QR canvas","",,Elements that function as buttons must be marked up as such so that screen reader users will identify them as actionable and they will be usable by keyboard users.,"2.1.1 (WCAG 2.0 A), 4.1.2 (WCAG 2.0 A)","Motor / Dexterity,Visual","Preferably, buttons should be marked up as semantic HTML `<button>` elements.

Less preferably, ensure that custom button elements include `role=""button”` and `tabindex=“0”`, and have the appropriate scripting in place so that the element can be selected by keyboard users using the `Enter` key and `Space` key, and by mouse click.",Critical,,Buttons,98,84,Open,Open,,,,,"",Yes,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2005689,https://hub.accessible360.com/screenshots/2005689,https://hub.accessible360.com/issues/701847/edit,"https://hub.accessible360.com/kb/articles/127, https://hub.accessible360.com/kb/articles/59, https://hub.accessible360.com/kb/articles/1368"
180,https://app-us3.e-builder.net/auth/Authenticate/LoginSequence.aspx,Security,"",Modal dialog,"",Manually add account,The modal dialog container is not labeled.,4.1.2 (WCAG 2.0 A),Visual,"Provide a [label using one of the following methods](https://hub.accessible360.com/kb/articles/820#heading-labelling). All of these solutions are acceptable, but some may be easier to implement than others depending on the content within the modal dialog.

1. Add a heading (preferably an `<h1>`, but `<h2>` is acceptable), then associate it with the modal dialog wrapper by giving that heading a unique `id` and referencing it with an `aria-labelledby` attribute on the wrapper element (the element with `role=""dialog""` and `aria-modal=""true""`).
  * If a heading describing the contents of the modal dialog already exists, you can use that heading instead.
  * This heading is most helpful when it is visible for all users, but for strict WCAG conformance it can be made visible only to screen reader users instead.
1. Alternatively, add an `aria-label` attribute to the wrapper element (the element with `role=""dialog""` and `aria-modal=""true""`) describing the purpose of the modal dialog.",Serious,,Modal Dialogs,112,44,Open,Open,"","","","","","",,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2005703,https://hub.accessible360.com/screenshots/2005703,https://hub.accessible360.com/issues/701862/edit,"https://hub.accessible360.com/kb/articles/820, https://hub.accessible360.com/kb/articles/923"
182,https://app-us3.e-builder.net/auth/Authenticate/LoginSequence.aspx,Security,"",Modal dialog heading,"",Manually add account,Text that functions as a heading should be marked up as such.,"1.3.1 (WCAG 2.0 A), 2.4.6 (WCAG 2.0 AA)","Cognitive,Visual","Mark this text up as a heading.

Headings provide structure for screen reader users. When marking text up as a heading, verify that the page maintains a logical outline structure. For example; 

- Each page needs a single `<h1>` heading that describes the main purpose of the page.
- An `<h2>` should head each major section of the page.
- Subsequent heading levels (`<h3>` through `<h6>`) should be related to a parent `<h2>` and should not skip heading levels.",Serious,,Headings,106,15,Open,Open,,,,,"","",,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2005708,https://hub.accessible360.com/screenshots/2005708,https://hub.accessible360.com/issues/701864/edit,"https://hub.accessible360.com/kb/articles/63, https://hub.accessible360.com/kb/articles/1313"
183,https://app-us3.e-builder.net/auth/Authenticate/LoginSequence.aspx,Security,"",from modal heading through list item 5,"",Manually add account,Unactionable elements should not have tabindex=”0”.,2.1.1 (WCAG 2.0 A),"Motor / Dexterity,Visual","Remove the `tabindex=""0""` attribute from each element so that they do not receive tab focus.",Warning,,Focus,2,565,Open,Open,,,,,"",Yes,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2005710,https://hub.accessible360.com/screenshots/2005710,https://hub.accessible360.com/issues/701865/edit,https://hub.accessible360.com/kb/articles/1412
9,https://app-us3.e-builder.net/da2/Home/index2.aspx,Home,Yes,"""Trimble Unity Construct""","",Header,Logo links require labels and should include all of the visible text.,"1.1.1 (WCAG 2.0 A), 2.4.4 (WCAG 2.0 A), 2.5.3 (WCAG 2.1 A)",Visual,"Ensure the link label includes the company name, as well as any additional text that is legible within the logo image (motto, slogan, etc). 

Based on the current content structure, select the appropriate option for remediation:

- For each `<img>` element, adjust the `alt`.
- For each `<svg>` element, add `role=""img""` and `aria-labelledby` attributes to the `<svg>` tag, then add a `<title>` tag within the `<svg>` tag and give this `<title>` tag a unique `id` attribute. Ensure the `<title>` is a direct descendant of the `<svg>` tag and that the `<svg>` tag’s `aria-labelledby` attribute holds the `<title>` tag’s `id` value.
- If using a background image, change it from a CSS background image by using an `<img>` tag with an `alt` attribute.",Serious,,Links,108,1558,Open,Open,,,,,"","",,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/2001793,https://hub.accessible360.com/screenshots/2001793,https://hub.accessible360.com/issues/700661/edit,"https://hub.accessible360.com/kb/articles/472, https://hub.accessible360.com/kb/articles/152, https://hub.accessible360.com/kb/articles/1359"
